DATE,HOUR,STREET1,STREET2,ROAD_CLASS,District,Division,LOCCOORD,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,IMPACTYPE,INVTYPE,INVAGE,INJURY,VEHTYPE,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID
2015-11-08,16,MCNICOLL AVE,SHADY HOLLOW DR,Minor Arterial,Scarborough,42,Intersection,No Control,Clear,Daylight,Dry,Turning Movement,Driver,65 to 69,Minor,"Automobile, Station Wagon",0,0,1,0,0,0,0,1,0,0,0,1,0,130
2016-06-01,8,LAWRENCE AVE E,MOSSBANK DR,Major Arterial,Scarborough,43,Intersection,Traffic Signal,Clear,Daylight,Dry,Rear End,Driver,35 to 39,None,"Automobile, Station Wagon",0,0,1,0,0,0,0,1,1,1,0,0,0,137
2016-07-02,2,FINCH AVE W,SENTINEL RD,Major Arterial,Etobicoke York,31,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Driver,35 to 39,None,"Automobile, Station Wagon",1,0,1,0,0,0,0,0,1,1,0,0,0,27
2016-09-01,22,BAY ST,HARBOUR ST,Major Arterial,Toronto and East York,52,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Turning Movement,Motorcycle Driver,30 to 34,Fatal,Motorcycle,0,0,1,1,0,0,0,0,0,0,0,0,0,77
2016-05-01,20,AVENUE RD,FELBRIGGE AVE,Major Arterial,North York,32,Mid-Block,No Control,Rain,"Dark, artificial",Wet,Pedestrian Collisions,Driver,30 to 34,None,"Automobile, Station Wagon",1,0,1,0,0,0,0,0,0,0,0,0,0,39
2016-06-01,8,LAWRENCE AVE E,MOSSBANK DR,Major Arterial,Scarborough,43,Intersection,Traffic Signal,Clear,Daylight,Dry,Rear End,Driver,30 to 34,None,Delivery Van,0,0,1,0,0,0,0,1,1,1,0,0,0,137
2016-09-01,22,BAY ST,HARBOUR ST,Major Arterial,Toronto and East York,52,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Turning Movement,Driver,65 to 69,None,"Automobile, Station Wagon",0,0,1,1,0,0,0,0,0,0,0,0,0,77
2015-11-08,20,LAWRENCE AVE E,DON MILLS RD,Major Arterial,North York,33,Intersection,Traffic Signal,Clear,Dark,Dry,Cyclist Collisions,Cyclist,15 to 19,Major,Bicycle,0,1,1,0,0,0,0,0,0,1,0,0,0,42
2016-09-02,16,LONSDALE RD,ORIOLE RD,Major Arterial,Toronto and East York,53,Intersection,No Control,Clear,Daylight,Dry,Cyclist Collisions,Driver,55 to 59,None,"Automobile, Station Wagon",0,1,1,0,0,0,0,0,0,0,0,0,0,97
2015-11-08,20,LAWRENCE AVE E,DON MILLS RD,Major Arterial,North York,33,Intersection,Traffic Signal,Clear,Dark,Dry,Cyclist Collisions,Driver,15 to 19,None,"Automobile, Station Wagon",0,1,1,0,0,0,0,0,0,1,0,0,0,42
